"ID_REF"	"GSM322969"	"GSM323054"	"GSM323523"	"GSM323524"	"GSM323525"	"GSM323526"	"GSM323527"	"GSM323528"	"GSM323529"	"GSM323530"	"GSM323531"	"GSM323554"	"GSM323555"	"GSM323557"	"GSM323558"	"GSM323559"	"GSM323560"	"GSM323561"	"GSM323562"	"GSM323563"	"GSM323564"	"GSM323565"	"GSM323566"	"GSM323567"	"GSM323569"
"221487_s_at"	288.01	329.5	294.74	325.31	331.07	260.78	315.52	279.41	305.51	364.32	288.94	311.58	307.02	297.23	291.89	255.54	249.76	349.24	305.58	300.59	225.88	392.23	312.57	532.38	431.03
"221488_s_at"	1619.02	1431.47	1723.81	1431.41	1726.21	1523.36	1660.54	1798.04	1750.79	1675.98	1562.64	1813.97	1691.26	1620.93	1651.26	1742.81	1733.76	2167.46	1777.78	1852.12	1687.13	1436.05	1536.27	1485.15	1746.17
"221489_s_at"	631.61	677.43	562.39	687.39	754.59	540.82	621.86	680.64	556.23	665.6	1055.01	839.09	666.6	939.05	676.66	616.33	688.9	893.01	522.21	663.98	334.29	292.55	238.22	348.14	348.19
"221490_at"	524.48	564.24	492.25	528.02	522.81	497.94	609.76	550.29	456.28	556.47	412.63	570.64	537.51	608.19	468.65	453.76	498.06	532.59	483.07	612.8	612.71	529.27	483.33	526.84	526.08
"221491_x_at"	369.86	153.72	80.25	108.29	200.7	81.04	91	1123.38	279.04	90.27	125.19	192.27	252.93	69.73	69.9	284.36	520.43	135.07	405.05	211.92	674.07	80.24	149.87	56.06	76.75
"221492_s_at"	680.64	625.37	850.04	682.67	864.28	781.78	595.08	707.6	832.49	638.85	756.91	649.44	869.04	529.6	740.23	806.54	784.07	755.45	812.72	664	790.36	514.66	598.22	592.37	359.15
"221493_at"	938.1	1162.17	1364.04	1029.91	1285.44	1082.75	1121.97	1236.89	1413.33	1158.83	1134.2	1238.31	1193.67	1071.39	1227.45	1379.75	1324.7	1717.71	1119.22	844.75	746.38	1939.07	1834.61	2132.47	1312.95
"221494_x_at"	1353.7	1096.73	1293.82	1282.85	1447.43	1355.14	1265.2	1332.16	1261.72	1152.12	1424.9	1276.79	1407.27	1211.19	1377.29	1385.85	1378.1	1392.23	1616.48	1428.23	1337.29	1340.68	1408.76	1471.56	1381.4
"221495_s_at"	1365.46	1417.18	1374.2	1373.02	1656.32	1317.17	1274.51	1230.03	1428.25	1308.55	1528.39	1432.75	1358.07	1289.26	1660.67	1436.21	1190.79	1274.97	1557.33	1777.53	1353.66	1506.08	1663.92	1567.25	1286.21
"221496_s_at"	227.76	337.21	421.06	431.75	255.96	500.51	336.6	422.94	333.3	294.69	297.11	334.16	279.56	490.02	735.09	421.43	380.56	289.74	367.85	639.37	496.81	512.65	633.45	351.47	266.48
"221497_x_at"	263.24	256.59	268.91	274.66	241.29	227.92	298.64	268.91	239.6	289.04	270.8	270.1	284.74	273.15	213	223.35	236.6	285.3	236.2	211.52	232.82	272.29	241.22	256.93	274.34
"221498_at"	419.2	354.7	353.6	302.93	405.37	369.43	358.88	410.86	496.47	441.32	321.23	380.99	400.52	390.33	439.45	399.04	401.16	426.57	380.72	386.63	343.27	456.11	395.24	529.44	461.75
"221499_s_at"	477.4	785.47	817.79	829.94	412.91	682.88	671.16	852.52	780.14	757.48	978.47	790.16	650.38	604.12	997.3	992.76	675.93	834.98	680.99	854.74	714.17	791.29	1473.68	603.17	426.37
"221500_s_at"	645.93	886.9	966	1059.45	783.42	1147.42	840.37	926.81	868.65	855.65	851.03	898.51	881.89	970.24	1195.59	1042.68	864.27	1152.35	838.52	884.03	990.92	904.3	1201.06	806.7	648.61
"221501_x_at"	1796.65	2854.25	2135.13	2628.85	1914.28	2915.98	2764.42	2210.94	2625.06	2356.77	2829.29	2425.6	2977.46	3350.1	3570.69	2496.47	2518.84	2406.83	2370.31	3919.73	3932.22	6144.31	6316.7	5096.32	2910.39
"221502_at"	513.1	493.66	697.65	523.47	658.82	503.91	513.89	580.16	695.41	548.82	663.74	509	639.48	484.29	563.9	578.64	596.25	602.86	584.32	466.19	533.02	494.47	563.98	640.64	584.44
"221503_s_at"	293.08	341.54	379.71	303.44	453.3	261.3	233.35	319.28	385.64	346.52	367.77	296.69	365.58	314.68	279.93	346.67	344.46	296.37	299.51	274.44	303.3	365.19	289.51	247.07	284.73
"221504_s_at"	611.64	630.1	540	508.88	586.73	531.7	632.58	749.11	578.91	543.87	435.03	603.11	547.18	447.24	437.47	500.16	473.39	714.08	447.7	337.28	447.01	772.06	650.64	948.43	629.09
"221505_at"	472.76	517.58	683.69	545.26	494.63	535.94	697.49	889.46	609.75	460.22	581.43	455.75	591.86	543.42	857.17	587.29	640.62	589.74	701.62	592.15	735.27	1019.61	1231.94	1166.15	342.59
"221506_s_at"	791.69	985.6	1091.66	921.62	1125.07	1398.21	992.67	953.27	1187.08	1142.85	1029.59	965.96	1110.65	1069.69	1267	1023.88	886.14	940.58	1131.99	1569.66	1261.45	1505.9	1660.63	1535.07	1424.78
"221507_at"	353.97	414.34	470.24	398.19	396.38	599.58	398.08	428.8	500.01	447.69	432.62	397.33	433.48	445.65	514.83	480.88	469.24	438.58	489.6	662.03	496.67	562.45	651.11	632.49	624.03
"221508_at"	534.43	929.08	933.56	882.32	699.1	848.1	853.4	705.94	983.77	840.89	770.62	889.22	827.47	961.54	1333.75	1115.71	931.13	585.66	749.18	791.92	647.55	387.97	568.35	526.17	404.57
"221509_at"	617.25	542.66	817.94	582.3	789.35	645.79	679.94	692.03	705.83	635.5	956.38	643.52	723.42	568.08	821.44	732.35	715.34	658.07	737.97	748.25	551.47	662.28	766	585.46	561.15
"221510_s_at"	236.59	256.39	447.21	395.96	275.84	160.96	310.76	317.87	392.48	262.83	543.07	280.03	394.64	284.46	512.95	406.57	367.8	322.41	464.84	294.84	333.73	81.23	163.21	131.43	209.34
"221511_x_at"	575.71	606.89	707.11	575.72	586.95	581.18	640.81	744.93	554.26	583.6	385.51	597.15	652.81	549.14	593.48	568.71	571.21	871.4	502.7	389.85	576.65	338.85	661.29	554.67	227.97
"221512_at"	438.45	398.58	438.7	470.15	461.55	482.16	385.61	447.95	391.03	436.72	344.44	409.01	466.69	440.51	447.11	455.5	446.12	474.48	458.89	540.04	378.2	405.11	415.3	454.04	459.46
"221513_s_at"	265.38	278.68	322.45	301.11	286.78	257.43	253.03	248.11	306.01	307.2	327.78	280.29	284.19	273.59	286.07	260.21	245.55	271.23	292.67	262.76	228.2	256.01	242.2	276.94	230.59
